"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-01-15","2026-01-15","2024-11","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","55000","100","Song","US","0.00000","165.00",""
"2026-01-15","2026-01-15","2024-11","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","68000","100","Song","US","0.00000","204.00",""
"2026-01-15","2026-01-15","2024-10","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","58000","100","Song","US","0.00000","174.00",""
"2026-01-15","2026-01-15","2024-10","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","72000","100","Song","US","0.00000","216.00",""
"2026-01-15","2026-01-15","2024-10","YouTube Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","85000","100","Song","US","0.00000","255.00",""
"2026-01-15","2026-01-15","2024-10","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","48000","100","Song","US","0.00000","144.00",""
"2026-01-15","2026-01-15","2024-10","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","62000","100","Song","US","0.00000","186.00",""
"2026-01-15","2026-01-15","2024-09","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","52000","100","Song","US","0.00000","156.00",""
"2026-01-15","2026-01-15","2024-09","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","65000","100","Song","US","0.00000","195.00",""
"2026-01-15","2026-01-15","2024-09","Apple Music","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","38000","100","Song","US","0.00000","167.20",""
"2026-01-15","2026-01-15","2024-09","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","42000","100","Song","US","0.00000","126.00",""
"2026-01-15","2026-01-15","2024-09","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","55000","100","Song","US","0.00000","165.00",""
"2026-01-15","2026-01-15","2024-08","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","45000","100","Song","US","0.00000","135.00",""
"2026-01-15","2026-01-15","2024-08","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","58000","100","Song","US","0.00000","174.00",""
"2026-01-15","2026-01-15","2024-08","Deezer","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","28000","100","Song","FR","0.00000","126.00",""
"2026-01-15","2026-01-15","2024-08","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","38000","100","Song","US","0.00000","114.00",""
"2026-01-15","2026-01-15","2024-08","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","48000","100","Song","US","0.00000","144.00",""
"2026-01-15","2026-01-15","2024-07","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","38000","100","Song","US","0.00000","114.00",""
"2026-01-15","2026-01-15","2024-07","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","52000","100","Song","US","0.00000","156.00",""
"2026-01-15","2026-01-15","2024-07","TikTok","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","480000","100","Song","US","0.00000","240.00",""
"2026-01-15","2026-01-15","2024-07","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","32000","100","Song","US","0.00000","96.00",""
"2026-01-15","2026-01-15","2024-07","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","42000","100","Song","US","0.00000","126.00",""
"2026-01-15","2026-01-15","2024-06","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","32000","100","Song","US","0.00000","96.00",""
"2026-01-15","2026-01-15","2024-06","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","45000","100","Song","US","0.00000","135.00",""
"2026-01-15","2026-01-15","2024-06","Apple Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","28000","100","Song","US","0.00000","123.20",""
"2026-01-15","2026-01-15","2024-06","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","28000","100","Song","US","0.00000","84.00",""
"2026-01-15","2026-01-15","2024-06","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","35000","100","Song","US","0.00000","105.00",""
"2026-01-15","2026-01-15","2024-05","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","28000","100","Song","US","0.00000","84.00",""
"2026-01-15","2026-01-15","2024-05","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","38000","100","Song","US","0.00000","114.00",""
"2026-01-15","2026-01-15","2024-05","Amazon Music","Nova Eclipse","Crystal Rain","QZNWX2400004","198765432104","22000","100","Song","US","0.00000","102.67",""
"2026-01-15","2026-01-15","2024-05","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","24000","100","Song","US","0.00000","72.00",""
"2026-01-15","2026-01-15","2024-05","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","28000","100","Song","US","0.00000","84.00",""
"2026-01-15","2026-01-15","2024-04","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","24000","100","Song","US","0.00000","72.00",""
"2026-01-15","2026-01-15","2024-04","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","32000","100","Song","US","0.00000","96.00",""
"2026-01-15","2026-01-15","2024-04","YouTube Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","45000","100","Song","US","0.00000","135.00",""
"2026-01-15","2026-01-15","2024-04","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","20000","100","Song","US","0.00000","60.00",""
"2026-01-15","2026-01-15","2024-04","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","24000","100","Song","US","0.00000","72.00",""
"2026-01-15","2026-01-15","2024-03","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","20000","100","Song","US","0.00000","60.00",""
"2026-01-15","2026-01-15","2024-03","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","28000","100","Song","US","0.00000","84.00",""
"2026-01-15","2026-01-15","2024-03","TikTok","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","350000","100","Song","US","0.00000","175.00",""
"2026-01-15","2026-01-15","2024-03","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","18000","100","Song","US","0.00000","54.00",""
"2026-01-15","2026-01-15","2024-03","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","20000","100","Song","US","0.00000","60.00",""
"2026-01-15","2026-01-15","2024-02","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","16000","100","Song","US","0.00000","48.00",""
"2026-01-15","2026-01-15","2024-02","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","22000","100","Song","US","0.00000","66.00",""
"2026-01-15","2026-01-15","2024-02","Apple Music","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","12000","100","Song","US","0.00000","52.80",""
"2026-01-15","2026-01-15","2024-02","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","14000","100","Song","US","0.00000","42.00",""
"2026-01-15","2026-01-15","2024-02","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","16000","100","Song","US","0.00000","48.00",""
"2026-01-15","2026-01-15","2024-01","Spotify","Nova Eclipse","Electric Sunset","QZNWX2400001","198765432101","12000","100","Song","US","0.00000","36.00",""
"2026-01-15","2026-01-15","2024-01","Spotify","Nova Eclipse","Neon Nights","QZNWX2400002","198765432102","18000","100","Song","US","0.00000","54.00",""
"2026-01-15","2026-01-15","2024-01","Amazon Music","Nova Eclipse","Velvet Sky","QZNWX2400003","198765432103","15000","100","Song","US","0.00000","70.00",""
"2026-01-15","2026-01-15","2024-01","Spotify","Luna Waves","Dreamscape","QZNWX2400005","198765432105","10000","100","Song","US","0.00000","30.00",""
"2026-01-15","2026-01-15","2024-01","Spotify","Luna Waves","Midnight Drive","QZNWX2400006","198765432106","12000","100","Song","US","0.00000","36.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","145000","100","Song","US","0.00000","435.00",""
"2026-01-15","2026-01-15","2025-12","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","52000","100","Song","GB","0.00000","156.00",""
"2026-01-15","2026-01-15","2025-12","Apple Music","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","78000","100","Song","US","0.00000","343.20",""
"2026-01-15","2026-01-15","2025-12","TikTok","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","1100000","100","Song","US","0.00000","550.00",""
"2026-01-15","2026-01-15","2025-11","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","135000","100","Song","US","0.00000","405.00",""
"2026-01-15","2026-01-15","2025-11","Apple Music","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","68000","100","Song","US","0.00000","299.20",""
"2026-01-15","2026-01-15","2025-10","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","125000","100","Song","US","0.00000","375.00",""
"2026-01-15","2026-01-15","2025-10","TikTok","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","920000","100","Song","US","0.00000","460.00",""
"2026-01-15","2026-01-15","2025-09","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","118000","100","Song","US","0.00000","354.00",""
"2026-01-15","2026-01-15","2025-09","Apple Music","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","62000","100","Song","US","0.00000","272.80",""
"2026-01-15","2026-01-15","2025-08","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","108000","100","Song","US","0.00000","324.00",""
"2026-01-15","2026-01-15","2025-08","TikTok","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","850000","100","Song","US","0.00000","425.00",""
"2026-01-15","2026-01-15","2025-07","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","95000","100","Song","US","0.00000","285.00",""
"2026-01-15","2026-01-15","2025-07","Apple Music","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","52000","100","Song","US","0.00000","228.80",""
"2026-01-15","2026-01-15","2025-06","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","85000","100","Song","US","0.00000","255.00",""
"2026-01-15","2026-01-15","2025-06","TikTok","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","720000","100","Song","US","0.00000","360.00",""
"2026-01-15","2026-01-15","2025-05","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","75000","100","Song","US","0.00000","225.00",""
"2026-01-15","2026-01-15","2025-05","Apple Music","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","42000","100","Song","US","0.00000","184.80",""
"2026-01-15","2026-01-15","2025-04","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","62000","100","Song","US","0.00000","186.00",""
"2026-01-15","2026-01-15","2025-04","TikTok","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","580000","100","Song","US","0.00000","290.00",""
"2026-01-15","2026-01-15","2025-03","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","52000","100","Song","US","0.00000","156.00",""
"2026-01-15","2026-01-15","2025-03","Apple Music","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","32000","100","Song","US","0.00000","140.80",""
"2026-01-15","2026-01-15","2025-02","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","42000","100","Song","US","0.00000","126.00",""
"2026-01-15","2026-01-15","2025-02","TikTok","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","420000","100","Song","US","0.00000","210.00",""
"2026-01-15","2026-01-15","2025-01","Spotify","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","35000","100","Song","US","0.00000","105.00",""
"2026-01-15","2026-01-15","2025-01","Apple Music","Nova Eclipse","Summer Anthem","QZNWX2400008","198765432108","22000","100","Song","US","0.00000","96.80",""
"2026-01-15","2026-01-15","2025-12","Spotify","Luna Waves","Ocean Breeze","QZNWX2400009","198765432109","132000","100","Song","US","0.00000","396.00",""
"2026-01-15","2026-01-15","2025-12","Apple Music","Luna Waves","Ocean Breeze","QZNWX2400009","198765432109","68000","100","Song","US","0.00000","299.20",""
"2026-01-15","2026-01-15","2025-12","YouTube Music","Luna Waves","Ocean Breeze","QZNWX2400009","198765432109","95000","100","Song","US","0.00000","285.00",""
"2026-01-15","2026-01-15","2025-11","Spotify","Luna Waves","Ocean Breeze","QZNWX2400009","198765432109","122000","100","Song","US","0.00000","366.00",""
"2026-01-15","2026-01-15","2025-11","Apple Music","Luna Waves","Ocean Breeze","QZNWX2400009","198765432109","58000","100","Song","US","0.00000","255.20",""
